"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MP";"PACKAGE";"PROD_ID";"PURCHASE-URL";"SOURCELIBRARY";"VALUE";"VENDOR";
"BAT";"SM02B-SSR-H-TB";"SM02B-SSR-H-TB";"SM02B-SSR-H-TB";"Disconnectable Insulation displacement connector, 1.0mm pitch2 contacts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"C6";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";
"C7";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C8";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"10nF";"";
"C9";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"D1";"250mA/100V";"DIODE-BAS16J";"SOD-323";"Diode";"";"";"";"";"";"";"";"";"";"DIO-09646";"";"";"250mA/100V";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"MICRO-SD_CARD_SOCKETPUSH-PUSH";"MICRO-SD_CARD_SOCKETPUSH-PUSH";"MICRO-SD-SOCKET";"microSD Socket for Transflash";"";"";"";"";"";"";"";"";"";"CONN-07820";"";"";"";"";
"JP1";"JUMPER-SMT_3_NO_SILK";"JUMPER-SMT_3_NO_SILK";"SMT-JUMPER_3_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"CORTEX_DEBUG_PTH";"CORTEX_DEBUG_PTH";"2X5-PTH-1.27MM";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"4.7µH/±30%/1.2A";"INDUCTOR-CDRH-4.7UH";"INDUCTOR_4.7UH";"Inductors";"";"";"";"";"";"";"";"";"";"NDUC-10146";"";"";"4.7µH/±30%/1.2A";"";
"L2";"";"INDUCTORFB-30OHM";"0603";"Inductors";"";"";"";"";"";"";"";"";"";"NDUC-07859";"";"";"";"";
"R1";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R2";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R3";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R4";" ";"RESISTOR0402";"0402";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R5";" ";"RESISTOR0402";"0402";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R6";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R7";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R8";"2SC2412KT146R";"2SC2412KT146R";"TRANS_2SB852K_ROM";"";"EMA_Matt";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"2SC2412KT146R";"";"";"";"";"";"Rohm_2019-09-23";"";"ROHM Semiconductor";
"R9";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R10";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R11";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
"R12";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";"";"";" ";"";
