Sample Tick,Height Feet, Acceleration X
6388,4515,0.0078125
6443,4514,0.0234375
6507,4514,0.015625
6570,4514,0.0234375
6641,4514,0.015625
6704,4514,0.015625
6768,4514,0.03125
6839,4514,0.015625
6902,4514,0.015625
6966,4514,0.03125
7039,4514,0.0234375
7102,4514,0.0234375
7165,4514,0.015625
7236,4514,0.03125
7300,4514,0.0234375
7363,4514,0.015625
7434,4514,0.0234375
7498,4514,0.0234375
7561,4514,0.0234375
7632,4514,0.015625
7696,4514,0.0234375
7760,4514,0.015625
7831,4514,0.015625
7894,4514,0.0234375
7958,4514,0.0234375
8030,4514,0.015625
8093,4514,0.03125
8157,4514,0.015625
8228,4514,0.015625
8291,4514,0.03125
8355,4514,0.015625
8426,4514,0.0234375
8490,4514,0.0234375
8553,4514,0.015625
8624,4514,0.0234375
8688,4514,0.0234375
8751,4514,0.0234375
8822,4514,0.015625
8886,4514,0.0078125
8949,4514,0.0078125
9021,4514,0.015625
9084,4514,0.0078125
9149,4515,0.03125
9220,4515,0.015625
9283,4515,0.015625
9347,4515,0.015625
9418,4515,0.0234375
9481,4515,0.015625
9545,4515,0.015625
9616,4515,0.015625
9679,4515,0.015625
9743,4515,0.015625
9814,4515,0.015625
9878,4515,0.03125
9941,4515,0.015625
10006,4515,0.0234375
10077,4516,0.0234375
10140,4516,0.0234375
10204,4516,0.0234375
10275,4515,0.015625
10338,4515,0.015625
10401,4515,0.0078125
10473,4515,0.015625
10536,4515,0.015625
10600,4515,0.03125
10671,4515,0.015625
10735,4515,0.015625
10798,4515,0.0234375
10869,4515,0.0234375
10933,4516,0.0078125
10997,4516,0.015625
11068,4516,0.0234375
11132,4516,0.0234375
11195,4516,0.0234375
11267,4516,0.015625
11330,4516,0.0234375
11394,4516,0.0078125
11465,4516,0.0234375
11528,4516,0.0078125
11592,4516,0.0234375
11663,4516,0.0234375
11726,4516,0.015625
11789,4516,0.015625
11861,4516,0.0234375
11924,4516,0.015625
11989,4516,0.015625
12060,4516,0.015625
12124,4516,0.0234375
12187,4516,0.0078125
12258,4516,0.015625
12322,4516,0.015625
12385,4516,0.015625
12456,4516,0.0234375
12520,4516,0.015625
12583,4516,0.0234375
12654,4516,0.0234375
12718,4516,0.015625
12782,4516,0.0234375
12853,4516,0.0234375
12916,4516,0.015625
12980,4516,0.0234375
13052,4516,0.015625
13115,4516,0.015625
13179,4516,0.015625
13250,4516,0.015625
13313,4516,0.015625
13377,4516,0.015625
13441,4516,0.0234375
13512,4516,0.015625
13575,4516,0.03125
13639,4516,0.0078125
13710,4516,0.015625
13773,4516,0.015625
13837,4516,0.0078125
13908,4516,0.015625
13971,4516,0.015625
14035,4516,0.015625
14107,4516,0.015625
14171,4516,0.0234375
14234,4516,0.015625
14305,4516,0.015625
14369,4516,0.015625
14432,4516,0.0234375
14503,4516,0.0234375
14566,4516,0.015625
14630,4516,0.0234375
14701,4516,0.015625
14764,4516,0.015625
14828,4516,0.0234375
14900,4516,0.015625
14963,4516,0.0234375
15027,4516,0.015625
15099,4516,0.015625
15162,4517,0.0234375
15225,4517,0.0234375
15297,4516,0.0078125
15360,4516,0.015625
15423,4516,0.0234375
15495,4516,0.0078125
15559,4516,0.015625
15622,4517,0.015625
15693,4517,0.015625
15757,4517,0.015625
15820,4517,0.015625
15891,4517,0.0078125
15954,4517,0.015625
16019,4517,0.0234375
16090,4517,0.0078125
16154,4517,0.0234375
16218,4517,0.0234375
16289,4518,0.0234375
16352,4518,0.0078125
16416,4518,0.0234375
16487,4518,0.0234375
16550,4518,0.015625
16613,4518,0.015625
16685,4518,0.015625
16748,4518,0.0234375
16811,4518,0.015625
16883,4518,0.015625
16947,4518,0.0234375
17011,4518,0.0234375
17074,4518,0.0234375
17146,4518,0.0234375
17209,4518,0.015625
17272,4518,0.0234375
17344,4518,0.0234375
17407,4518,0.0234375
17470,4518,0.0234375
17542,4518,0.0234375
17606,4518,0.0234375
17669,4518,0.0234375
17740,4518,0.015625
17804,4518,0.03125
17867,4518,0.0234375
17938,4518,0.015625
18002,4518,0.015625
18066,4518,0.015625
18137,4518,0.0234375
18200,4518,0.015625
18264,4518,0.0234375
18336,4519,0.015625
18399,4519,0.015625
18462,4519,0.0234375
18534,4519,0.0234375
18597,4519,0.0234375
18660,4519,0.015625
18732,4519,0.0234375
18795,4519,0.0234375
18858,4519,0.0078125
18930,4519,0.0234375
18994,4519,0.015625
19058,4519,0.03125
19129,4519,0.0234375
19193,4519,0.015625
19256,4519,0.0078125
19327,4519,0.015625
19391,4519,0.015625
19454,4519,0.015625
19525,4519,0.0234375
19589,4519,0.0234375
19652,4518,0.0234375
19724,4518,0.0078125
19787,4518,0.015625
19851,4518,0.015625
19922,4518,0.0234375
19985,4518,0.0234375
20050,4519,0.0234375
20121,4518,0.015625
20184,4518,0.0078125
20248,4518,0.0234375
20319,4518,0.015625
20382,4519,0.0234375
20446,4519,0.015625
20510,4518,0.015625
20581,4518,0.015625
20644,4518,0.0078125
20708,4518,0.015625
20779,4518,0.0234375
20842,4518,0.015625
20906,4518,0.03125
20977,4518,0.03125
21041,4518,0.015625
21105,4518,0.015625
21177,4519,0.015625
21240,4519,0.015625
21303,4519,0.03125
21375,4519,0.03125
21438,4519,0.015625
21501,4519,0.0078125
21573,4519,0.015625
21636,4519,0.0078125
21699,4519,0.015625
21770,4519,0.015625
21835,4519,0.015625
21898,4519,0.015625
21969,4519,0.0078125
22033,4519,0.015625
22097,4519,0.0234375
22168,4519,0.0
22231,4519,0.015625
22295,4519,0.015625
22366,4519,0.015625
22429,4519,0.0234375
22493,4519,0.0234375
22565,4519,0.0078125
22628,4519,0.015625
22691,4519,0.015625
22763,4519,0.0234375
22826,4519,0.015625
22889,4519,0.015625
22961,4519,0.0234375
23025,4519,0.015625
23088,4519,0.0234375
23160,4519,0.015625
23223,4519,0.03125
23287,4519,0.015625
23350,4519,0.0078125
23422,4519,0.015625
23485,4519,0.0078125
23548,4519,0.0234375
23620,4519,0.015625
23683,4519,0.0234375
23747,4519,0.0234375
23818,4519,0.015625
23881,4519,0.015625
23945,4519,0.015625
24017,4519,0.0234375
24081,4519,0.0234375
24144,4519,0.015625
24215,4519,0.0234375
24279,4519,0.015625
24342,4519,0.0234375
24413,4519,0.015625
24477,4519,0.015625
24540,4519,0.0234375
24611,4519,0.015625
24675,4519,0.0234375
24739,4519,0.015625
24810,4519,0.0234375
24873,4519,0.0078125
24937,4519,0.015625
25009,4519,0.0234375
25072,4519,0.015625
25135,4519,0.0234375
25207,4519,0.015625
25270,4519,0.03125
25333,4519,0.015625
25405,4519,0.015625
25469,4519,0.015625
25532,4519,0.0234375
25603,4519,0.0234375
25667,4520,0.015625
25730,4520,0.015625
25801,4520,0.0078125
25865,4519,0.03125
25928,4519,0.015625
26000,4519,0.0078125
26064,4519,0.0234375
26128,4519,0.015625
26199,4520,0.0234375
26262,4520,0.015625
26326,4519,0.015625
26397,4520,0.015625
26460,4520,0.0234375
26523,4520,0.0234375
26595,4520,0.015625
26658,4520,0.0078125
26721,4520,0.0078125
26785,4520,0.0234375
26857,4520,0.0078125
26920,4520,0.015625
26983,4520,0.0234375
27056,4520,0.015625
27119,4520,0.015625
27182,4520,0.015625
27254,4520,0.015625
27317,4520,0.0234375
27381,4520,0.0234375
27452,4520,0.015625
27516,4521,0.015625
27579,4520,0.03125
27651,4521,0.0234375
27714,4521,0.015625
27777,4521,0.015625
27849,4521,0.015625
27912,4521,0.0234375
27975,4521,0.0234375
28048,4521,0.0234375
28111,4521,0.0234375
28175,4521,0.0234375
28246,4521,0.015625
28310,4522,0.015625
28373,4522,0.0234375
28445,4521,0.015625
28508,4521,0.0234375
28571,4521,0.0234375
28643,4521,0.015625
28706,4521,0.015625
28769,4521,0.015625
28841,4521,0.0234375
28905,4521,0.015625
28968,4521,0.015625
29032,4521,0.015625
29104,4521,0.015625
29167,4521,0.015625
29230,4521,0.0234375
29302,4521,0.015625
29365,4521,0.015625
29428,4522,0.015625
29500,4521,0.015625
29563,4521,0.015625
29627,4522,0.0234375
29698,4522,0.015625
29762,4521,0.0234375
29825,4522,0.0234375
29897,4522,0.0
29960,4521,0.015625
30024,4522,0.015625
30096,4521,0.015625
30159,4521,0.0078125
30222,4521,0.0234375
30294,4521,0.015625
30358,4522,0.0078125
30421,4522,0.0078125
30493,4522,0.0234375
30556,4522,0.0078125
30619,4522,0.015625
30691,4522,0.015625
30754,4522,0.015625
30817,4522,0.015625
30888,4522,0.015625
30952,4522,0.0078125
31017,4522,0.0234375
31080,4522,0.015625
31152,4522,0.015625
31215,4522,0.015625
